code=32, textureId=0, prespace=0, width=8, advance=8, top=(1, 1), bottom=(9, 17)
code=33, textureId=0, prespace=0, width=8, advance=8, top=(9, 1), bottom=(17, 17)
code=34, textureId=0, prespace=0, width=8, advance=8, top=(17, 1), bottom=(25, 17)
code=35, textureId=0, prespace=0, width=8, advance=8, top=(25, 1), bottom=(33, 17)
code=36, textureId=0, prespace=0, width=8, advance=8, top=(33, 1), bottom=(41, 17)
code=37, textureId=0, prespace=0, width=8, advance=8, top=(41, 1), bottom=(49, 17)
code=38, textureId=0, prespace=0, width=8, advance=8, top=(49, 1), bottom=(57, 17)
code=39, textureId=0, prespace=0, width=8, advance=8, top=(57, 1), bottom=(65, 17)
code=40, textureId=0, prespace=0, width=8, advance=8, top=(65, 1), bottom=(73, 17)
code=41, textureId=0, prespace=0, width=8, advance=8, top=(73, 1), bottom=(81, 17)
code=42, textureId=0, prespace=0, width=8, advance=8, top=(81, 1), bottom=(89, 17)
code=43, textureId=0, prespace=0, width=8, advance=8, top=(89, 1), bottom=(97, 17)
code=44, textureId=0, prespace=0, width=8, advance=8, top=(97, 1), bottom=(105, 17)
code=45, textureId=0, prespace=0, width=8, advance=8, top=(105, 1), bottom=(113, 17)
code=46, textureId=0, prespace=0, width=8, advance=8, top=(113, 1), bottom=(121, 17)
code=47, textureId=0, prespace=0, width=8, advance=8, top=(121, 1), bottom=(129, 17)
code=48, textureId=0, prespace=0, width=8, advance=8, top=(129, 1), bottom=(137, 17)
code=49, textureId=0, prespace=0, width=8, advance=8, top=(137, 1), bottom=(145, 17)
code=50, textureId=0, prespace=0, width=8, advance=8, top=(145, 1), bottom=(153, 17)
code=51, textureId=0, prespace=0, width=8, advance=8, top=(153, 1), bottom=(161, 17)
code=52, textureId=0, prespace=0, width=8, advance=8, top=(161, 1), bottom=(169, 17)
code=53, textureId=0, prespace=0, width=8, advance=8, top=(169, 1), bottom=(177, 17)
code=54, textureId=0, prespace=0, width=8, advance=8, top=(177, 1), bottom=(185, 17)
code=55, textureId=0, prespace=0, width=8, advance=8, top=(185, 1), bottom=(193, 17)
code=56, textureId=0, prespace=0, width=8, advance=8, top=(193, 1), bottom=(201, 17)
code=57, textureId=0, prespace=0, width=8, advance=8, top=(201, 1), bottom=(209, 17)
code=58, textureId=0, prespace=0, width=8, advance=8, top=(209, 1), bottom=(217, 17)
code=59, textureId=0, prespace=0, width=8, advance=8, top=(217, 1), bottom=(225, 17)
code=60, textureId=0, prespace=0, width=8, advance=8, top=(225, 1), bottom=(233, 17)
code=61, textureId=0, prespace=0, width=8, advance=8, top=(233, 1), bottom=(241, 17)
code=62, textureId=0, prespace=0, width=8, advance=8, top=(241, 1), bottom=(249, 17)
code=63, textureId=0, prespace=0, width=8, advance=8, top=(249, 1), bottom=(257, 17)
code=64, textureId=0, prespace=0, width=8, advance=8, top=(257, 1), bottom=(265, 17)
code=65, textureId=0, prespace=0, width=8, advance=8, top=(265, 1), bottom=(273, 17)
code=66, textureId=0, prespace=0, width=8, advance=8, top=(273, 1), bottom=(281, 17)
code=67, textureId=0, prespace=0, width=8, advance=8, top=(281, 1), bottom=(289, 17)
code=68, textureId=0, prespace=0, width=8, advance=8, top=(289, 1), bottom=(297, 17)
code=69, textureId=0, prespace=0, width=8, advance=8, top=(297, 1), bottom=(305, 17)
code=70, textureId=0, prespace=0, width=8, advance=8, top=(305, 1), bottom=(313, 17)
code=71, textureId=0, prespace=0, width=8, advance=8, top=(313, 1), bottom=(321, 17)
code=72, textureId=0, prespace=0, width=8, advance=8, top=(321, 1), bottom=(329, 17)
code=73, textureId=0, prespace=0, width=8, advance=8, top=(329, 1), bottom=(337, 17)
code=74, textureId=0, prespace=0, width=8, advance=8, top=(337, 1), bottom=(345, 17)
code=75, textureId=0, prespace=0, width=8, advance=8, top=(345, 1), bottom=(353, 17)
code=76, textureId=0, prespace=0, width=8, advance=8, top=(353, 1), bottom=(361, 17)
code=77, textureId=0, prespace=0, width=8, advance=8, top=(361, 1), bottom=(369, 17)
code=78, textureId=0, prespace=0, width=8, advance=8, top=(369, 1), bottom=(377, 17)
code=79, textureId=0, prespace=0, width=8, advance=8, top=(377, 1), bottom=(385, 17)
code=80, textureId=0, prespace=0, width=8, advance=8, top=(385, 1), bottom=(393, 17)
code=81, textureId=0, prespace=0, width=8, advance=8, top=(393, 1), bottom=(401, 17)
code=82, textureId=0, prespace=0, width=8, advance=8, top=(401, 1), bottom=(409, 17)
code=83, textureId=0, prespace=0, width=8, advance=8, top=(409, 1), bottom=(417, 17)
code=84, textureId=0, prespace=0, width=8, advance=8, top=(417, 1), bottom=(425, 17)
code=85, textureId=0, prespace=0, width=8, advance=8, top=(425, 1), bottom=(433, 17)
code=86, textureId=0, prespace=0, width=8, advance=8, top=(433, 1), bottom=(441, 17)
code=87, textureId=0, prespace=0, width=8, advance=8, top=(441, 1), bottom=(449, 17)
code=88, textureId=0, prespace=0, width=8, advance=8, top=(449, 1), bottom=(457, 17)
code=89, textureId=0, prespace=0, width=8, advance=8, top=(457, 1), bottom=(465, 17)
code=90, textureId=0, prespace=0, width=8, advance=8, top=(465, 1), bottom=(473, 17)
code=91, textureId=0, prespace=0, width=8, advance=8, top=(473, 1), bottom=(481, 17)
code=92, textureId=0, prespace=0, width=8, advance=8, top=(481, 1), bottom=(489, 17)
code=93, textureId=0, prespace=0, width=8, advance=8, top=(489, 1), bottom=(497, 17)
code=94, textureId=0, prespace=0, width=8, advance=8, top=(497, 1), bottom=(505, 17)
code=95, textureId=0, prespace=0, width=8, advance=8, top=(1, 17), bottom=(9, 33)
code=96, textureId=0, prespace=0, width=8, advance=8, top=(9, 17), bottom=(17, 33)
